comparison,delta,fixture_id,lower_value,metric,upper_value
L1 minus L0,0.0,final-v1:long_chain_fork:authority_unknown:business-0,0.0,overfreeze_rate,0.0
L1 minus L0,0.0,final-v1:long_chain_fork:authority_unknown:business-0,1.5,propagation_handoffs_per_task,1.5
L1 minus L0,0.0,final-v1:long_chain_fork:authority_unknown:business-0,0.0,recovery_rate_confirmed,0.0
L1 minus L0,1.0,final-v1:long_chain_fork:authority_unknown:business-0,0.0,route_coverage,1.0
L1 minus L0,722.5,final-v1:long_chain_fork:authority_unknown:business-0,788.125,tokens_per_decision,1510.625
L1 minus L0,0.0,final-v1:long_chain_fork:authority_unknown:business-1,0.5,unsafe_rate,0.5
L1 minus L0,0.0,final-v1:long_chain_fork:authority_unknown:business-1,0.5,safe_rate,0.5
L1 minus L0,0.0,final-v1:long_chain_fork:authority_unknown:business-1,1.0,unrelated_retention,1.0
L1 minus L0,0.0,final-v1:long_chain_fork:authority_unknown:business-1,0.0,overfreeze_rate,0.0
L1 minus L0,0.0,final-v1:long_chain_fork:authority_unknown:business-1,1.5,propagation_handoffs_per_task,1.5
L1 minus L0,0.0,final-v1:long_chain_fork:authority_unknown:business-1,0.0,recovery_rate_confirmed,0.0
L1 minus L0,1.0,final-v1:long_chain_fork:authority_unknown:business-1,0.0,route_coverage,1.0
L1 minus L0,738.1875,final-v1:long_chain_fork:authority_unknown:business-1,785.125,tokens_per_decision,1523.3125
L1 minus L0,0.0,final-v1:long_chain_fork:branch_retraction:business-0,0.25,unsafe_rate,0.25
L1 minus L0,-0.25,final-v1:long_chain_fork:branch_retraction:business-0,0.75,safe_rate,0.5
L1 minus L0,-0.33333333333333337,final-v1:long_chain_fork:branch_retraction:business-0,1.0,unrelated_retention,0.6666666666666666
L1 minus L0,0.0,final-v1:long_chain_fork:branch_retraction:business-0,0.0,overfreeze_rate,0.0
L1 minus L0,0.0,final-v1:long_chain_fork:branch_retraction:business-0,0.0,propagation_handoffs_per_task,0.0
L1 minus L0,0.0,final-v1:long_chain_fork:branch_retraction:business-0,0.0,recovery_rate_confirmed,0.0
L1 minus L0,1.0,final-v1:long_chain_fork:branch_retraction:business-0,0.0,route_coverage,1.0
L1 minus L0,768.0625,final-v1:long_chain_fork:branch_retraction:business-0,787.625,tokens_per_decision,1555.6875
L1 minus L0,0.0,final-v1:long_chain_fork:branch_retraction:business-1,0.25,unsafe_rate,0.25
L1 minus L0,0.0,final-v1:long_chain_fork:branch_retraction:business-1,0.75,safe_rate,0.75
L1 minus L0,0.0,final-v1:long_chain_fork:branch_retraction:business-1,1.0,unrelated_retention,1.0
L1 minus L0,0.0,final-v1:long_chain_fork:branch_retraction:business-1,0.0,overfreeze_rate,0.0
L1 minus L0,0.0,final-v1:long_chain_fork:branch_retraction:business-1,0.0,propagation_handoffs_per_task,0.0
L1 minus L0,0.0,final-v1:long_chain_fork:branch_retraction:business-1,0.0,recovery_rate_confirmed,0.0
L1 minus L0,1.0,final-v1:long_chain_fork:branch_retraction:business-1,0.0,route_coverage,1.0
L1 minus L0,735.75,final-v1:long_chain_fork:branch_retraction:business-1,790.875,tokens_per_decision,1526.625
L1 minus L0,0.0,final-v1:long_chain_fork:confirmed_repair:business-1,0.5,unsafe_rate,0.5
L1 minus L0,0.0,final-v1:long_chain_fork:confirmed_repair:business-1,0.5,safe_rate,0.5
L1 minus L0,0.0,final-v1:long_chain_fork:confirmed_repair:business-1,1.0,unrelated_retention,1.0
L1 minus L0,0.0,final-v1:long_chain_fork:confirmed_repair:business-1,0.0,overfreeze_rate,0.0
L1 minus L0,0.0,final-v1:long_chain_fork:confirmed_repair:business-1,1.5,propagation_handoffs_per_task,1.5
L1 minus L0,0.0,final-v1:long_chain_fork:confirmed_repair:business-1,0.0,recovery_rate_confirmed,0.0
L1 minus L0,1.0,final-v1:long_chain_fork:confirmed_repair:business-1,0.0,route_coverage,1.0
L1 minus L0,706.9411764705883,final-v1:long_chain_fork:confirmed_repair:business-1,781.0,tokens_per_decision,1487.9411764705883
L1 minus L0,0.5,final-v1:long_chain_fork:conflicting_sources:business-0,0.0,unsafe_rate,0.5
L1 minus L0,0.0,final-v1:long_chain_fork:conflicting_sources:business-0,0.5,safe_rate,0.5
L1 minus L0,0.0,final-v1:long_chain_fork:conflicting_sources:business-0,1.0,unrelated_retention,1.0
L1 minus L0,0.0,final-v1:long_chain_fork:conflicting_sources:business-0,0.0,overfreeze_rate,0.0
L1 minus L0,0.25,final-v1:long_chain_fork:conflicting_sources:business-0,1.25,propagation_handoffs_per_task,1.5
L1 minus L0,0.0,final-v1:long_chain_fork:conflicting_sources:business-0,0.0,recovery_rate_confirmed,0.0
L1 minus L0,1.0,final-v1:long_chain_fork:conflicting_sources:business-0,0.0,route_coverage,1.0
L1 minus L0,879.2352941176472,final-v1:long_chain_fork:conflicting_sources:business-0,645.4117647058823,tokens_per_decision,1524.6470588235295
L1 minus L0,0.5,final-v1:long_chain_fork:conflicting_sources:business-1,0.0,unsafe_rate,0.5
L1 minus L0,0.0,final-v1:long_chain_fork:conflicting_sources:business-1,0.5,safe_rate,0.5
L1 minus L0,0.0,final-v1:long_chain_fork:conflicting_sources:business-1,1.0,unrelated_retention,1.0
L1 minus L0,0.0,final-v1:long_chain_fork:conflicting_sources:business-1,0.0,overfreeze_rate,0.0
L1 minus L0,0.25,final-v1:long_chain_fork:conflicting_sources:business-1,1.25,propagation_handoffs_per_task,1.5
L1 minus L0,0.0,final-v1:long_chain_fork:conflicting_sources:business-1,0.0,recovery_rate_confirmed,0.0
L1 minus L0,1.0,final-v1:long_chain_fork:conflicting_sources:business-1,0.0,route_coverage,1.0
